iter	RMSE
0	7.875935978
1	7.534384705
2	7.265404002
3	7.037741811
4	6.777515877
5	6.535460325
6	6.316126692
7	6.122329293
8	5.961938129
9	5.815852988
10	5.678324121
11	5.539536447
12	5.423598163
13	5.30812133
14	5.211988383
15	5.111026699
16	5.007868693
17	4.9263024
18	4.835755701
19	4.764745689
20	4.682838436
21	4.606677328
22	4.537153551
23	4.471007702
24	4.42867986
25	4.372126394
26	4.31943978
27	4.281103718
28	4.223369685
29	4.150635291
30	4.092303606
31	4.058388802
32	3.998239518
33	3.952324502
34	3.901320897
35	3.863890647
36	3.844118175
37	3.808177399
38	3.773519923
39	3.737256059
40	3.701033993
41	3.65221856
42	3.627751259
43	3.591654142
44	3.56155319
45	3.508150274
46	3.472222789
47	3.447162975
48	3.428540114
49	3.400379672
50	3.362753934
51	3.322868049
52	3.283347463
53	3.248978899
54	3.208629361
55	3.176763025
56	3.134851918
57	3.110352639
58	3.086376391
59	3.059448407
60	3.032768711
61	3.006520453
62	2.972019853
63	2.951540894
64	2.92268766
65	2.894320686
66	2.876320427
67	2.842849082
68	2.824974425
69	2.806278894
70	2.778430473
71	2.752874067
72	2.72587356
73	2.711444348
74	2.686866371
75	2.661474053
76	2.642942644
77	2.626905043
78	2.606178021
79	2.580587234
80	2.55614624
81	2.538973481
82	2.520048755
83	2.500063093
84	2.490402245
85	2.465599438
86	2.4354821
87	2.418536143
88	2.396328476
89	2.375435716
90	2.357573292
91	2.342487355
92	2.320884604
93	2.305569691
94	2.292149407
95	2.280274659
96	2.250627365
97	2.230590778
98	2.196554253
99	2.171246776
