iter	Passed	Remaining
0	59	5863
1	60	2981
2	62	2015
3	64	1542
4	65	1242
5	66	1046
6	68	907
7	69	803
8	71	719
9	72	651
10	73	597
11	75	551
12	76	512
13	78	479
14	80	453
15	81	427
16	83	407
17	85	389
18	86	370
19	88	353
20	89	337
21	90	322
22	92	308
23	93	295
24	94	284
25	96	273
26	97	264
27	98	254
28	100	245
29	101	237
30	103	230
31	104	222
32	106	215
33	107	208
34	108	201
35	110	195
36	111	189
37	112	183
38	114	178
39	116	174
40	117	169
41	119	164
42	120	160
43	122	155
44	123	150
45	124	146
46	126	142
47	127	138
48	128	134
49	130	130
50	131	126
51	132	122
52	134	119
53	135	115
54	137	112
55	138	108
56	139	105
57	141	102
58	142	99
59	144	96
60	145	92
61	146	90
62	148	86
63	149	84
64	151	81
65	152	78
66	153	75
67	155	73
68	156	70
69	158	67
70	159	65
71	160	62
72	162	60
73	163	57
74	165	55
75	166	52
76	168	50
77	169	47
78	170	45
79	172	43
80	173	40
81	174	38
82	176	36
83	177	33
84	179	31
85	180	29
86	181	27
87	183	25
88	185	22
89	186	20
90	187	18
91	189	16
92	190	14
93	192	12
94	193	10
95	194	8
96	196	6
97	197	4
98	198	2
99	200	0
